	id	leg_term	desc	pos_tag	term_root
524	17688770457049120	сум	галт зэвсэгт зориулагдсан хонгио, бялт, дарин цэнэг, хошуу бүгд нэг биет болж угсрагдсан, эсхүл гол төмөрт хийж буудлага үйлдэх зориулалттай бүрдэл хэсгийг	NM	сум
762	17688770460106086	зам	тээврийн хэрэгслээр зорчиход зориулсан зурвас газрыг зорчих хэсэг болон түүний хажуугийн хөвөө, явган хүний зам, тусгаарлах зурвас замд хамаарна	NM	зам
299	17688770454404830	хүү	гэрээний үндсэн дээр мөнгөн хөрөнгийг ашигласны хариу төлбөр буюу үнийг	NM	хүү
1021	17688770465089193	мал	уламжлагдан маллаж ирсэн таван хошуу малыг	NM	мал
786	17688770460994628	хүн	монгол улсын иргэн, гадаадын иргэн, харьяалалгүй хүнийг	NM	хүн
551	17688770457233586	аюул	хүний амь нас, эрүүл мэнд, мал, амьтан, эд хөрөнгө, музейн үзмэр, цуглуулга, түүх, соёлын дурсгалт зүйл, хүрээлэн байгаа орчинд хохирол учруулж болзошгүй аюулт үзэгдэл, осол, хүний буруутай үйл ажиллагааг	NM	аюул
987	17688770464574589	кино	техник технологи ашиглан олон нийтэд түгээх зорилгоор дуу авиа дагалдсан эсэхээс үл хамааран хоорондоо холбоотой цуврал дүрсийг хөдөлгөөнт хэлбэрт оруулан үзэх боломжтой аргаар туурвисан бүтээлийг	NM	кино
549	17688770457234647	осол	уул уурхай, үйлдвэрлэл, технологийн горим зөрчигдсөнөөс тоног төхөөрөмж, барилга байгууламж ноцтой эвдрэх, нурах, тээврийн хэрэгсэл осолдох, сүйрэх, цацраг идэвхт болон химийн хорт бодис алдагдах, дэлбэрэлт болох зэргийг	NM	осол
275	17688770454213927	банк	хувьцаа эзэмшигчдийн оруулсан мөнгөн хөрөнгөөс бүрдсэн хувь нийлүүлсэн хөрөнгөтэй, хувьцаа эзэмшигч нь эзэмшиж байгаа хувьцааны хэмжээгээр хариуцлага хүлээдэг, бусдын мөнгөн хөрөнгийг хуримтлуулан хадгалж, өөрийн нэрийн өмнөөс зээл олгох, төлбөр тооцоо хийх зэрэг санхүүгийн зуучлалын үйл ажиллагааг монголбанкны зөвшөөрөлтэйгээр эрхэлдэг, ашгийн төлөө хуулийн этгээдийг	NM	банк
294	17688770454406884	зээл	банк, эрх бүхий хуулийн этгээдээс гэрээний үндсэн дээр тодорхой зориулалт, хугацаа, эргэн төлөгдөх нөхцөлөөр хүүтэй буюу хүүгүй бусад этгээдэд аливаа хэлбэрээр олгосон мөнгөн хөрөнгийг	NM	зээл
